File,Logic Domain,CEGAR,Cheetah,S52SAT
s4_md_n.0026.intohylo,s4,1,8,8
s4_md_n.0027.intohylo,s4,1,-1,8
s4_md_n.0028.intohylo,s4,1,-1,-1
s4_md_n.0029.intohylo,s4,1,-1,-1
s4_md_n.0030.intohylo,s4,2,-1,-1
s4_md_n.0031.intohylo,s4,2,-1,-1
s4_md_n.0032.intohylo,s4,2,-1,-1
s4_md_n.0033.intohylo,s4,2,-1,-1
s4_md_n.0034.intohylo,s4,8,-1,-1
s4_md_n.0035.intohylo,s4,4,-1,-1
s4_md_n.0036.intohylo,s4,4,-1,-1
